FFTE Feed tank level SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,TFE Steam temperature SP,FFTE Feed flow SP,FFTE Out steam temp SP,Extract tank Level,Extract tank Out flow PV,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed tank level PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Out steam temp PV,FFTE Production solids PV,FFTE Pump 1,FFTE Pump 1 - 2,FFTE Pump 2,FFTE Steam pressure PV,FFTE Temperature 1 - 1,FFTE Temperature 1 - 2,FFTE Temperature 2 - 1,FFTE Temperature 2 - 2,FFTE Temperature 3 - 1,FFTE Temperature 3 - 2,FFTE Unk Temperature,TFE Feed pump,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,Class
50.0,40.5,100.0,1982.74,60.0,-78.54,120.0,80.0,9800.0,50.0,64.76,39.62,1.25,46.57,9209.47,56.49,53.1,63.54,62.23,49.77,46.49,80.0,100.0,81.0,115.08,81.16,82.93,64.82,61.14,4.94,82.1,70.4,28.1,2199.09,50.44,30.55,80.0,2475.36,0.0,52.53,1.19,119.91,75.12,83.64,75.0,-70.68,0
50.0,43.0,129.35,2609.3,73.0,-73.85,120.0,80.0,10200.0,50.33,30.45,14.06,1.25,45.07,9625.81,50.98,61.62,63.99,65.08,49.99,45.23,80.0,100.0,81.0,129.88,83.44,84.59,66.72,60.91,17.63,84.18,69.79,20.5,1731.52,45.73,26.95,80.0,1629.05,0.0,65.72,1.22,120.23,69.6,57.25,76.0,-66.47,1
25.0,41.5,135.0,2218.41,0.0,-50.0,2.0,80.0,18000.0,50.0,1.33,3.0,1.28,52.84,9260.7,50.12,65.72,67.39,64.7,50.15,53.88,80.0,100.0,81.0,124.96,85.52,87.54,68.92,64.6,23.2,87.35,80.49,21.0,1372.24,43.74,28.03,80.0,1372.24,0.0,70.36,0.92,119.91,80.46,81.76,92.0,-37.55,2
50.0,43.0,130.0,2846.51,66.0,-69.95,120.0,80.0,10400.0,50.0,44.86,35.78,1.53,57.17,9991.57,50.76,58.96,69.18,65.5,49.7,54.56,80.0,100.0,81.0,144.68,86.87,88.22,70.37,66.75,17.47,87.96,71.62,30.0,2064.85,50.12,35.7,80.0,2173.8,0.0,71.45,1.12,119.91,81.39,81.39,81.0,-60.84,2
50.0,43.0,121.85,2917.67,73.0,-80.0,120.0,80.0,10400.0,50.0,50.19,17.7,1.18,40.07,9273.67,50.76,53.99,62.77,61.46,50.02,39.1,80.0,100.0,81.0,114.72,81.94,83.57,64.98,60.69,17.76,82.77,61.52,22.5,1853.44,44.54,27.96,80.0,2411.15,0.0,66.0,1.22,120.23,68.77,71.41,68.0,-79.85,1
50.0,42.0,130.0,2214.29,63.0,-61.57,120.0,80.0,9600.0,50.0,51.79,5.2,1.08,52.02,9516.86,49.32,62.26,64.09,64.09,49.77,51.65,80.0,100.0,81.0,125.31,81.61,83.06,66.46,60.08,21.67,82.45,73.64,22.0,1795.72,47.23,28.03,80.0,2199.09,0.0,70.36,1.12,119.91,85.82,82.28,86.0,-56.56,1
50.0,43.0,130.82,2846.51,65.0,-58.77,120.0,80.0,10200.0,51.11,54.85,15.5,1.09,48.29,9427.37,49.19,62.84,65.75,66.68,50.44,48.66,80.0,100.0,81.0,114.72,84.79,86.68,68.6,62.68,16.51,85.78,62.29,23.5,1911.15,46.18,30.19,80.0,1769.78,0.0,67.53,0.93,120.56,68.2,83.13,70.0,-76.67,2
50.0,40.74,125.0,2897.65,69.0,-57.87,125.0,80.0,10130.0,49.88,1.49,1.75,1.29,57.79,9959.79,37.81,42.17,62.58,38.04,48.26,57.94,80.0,100.0,81.0,125.67,66.81,69.08,56.37,63.06,3.98,67.1,79.15,28.3,1859.92,49.0,28.91,80.0,1981.19,0.0,66.02,1.19,125.03,89.73,81.03,90.0,-42.82,0
50.0,43.0,125.0,2846.51,70.0,-39.07,120.0,80.0,10200.0,50.0,46.18,4.15,1.32,53.18,10324.9,51.01,53.51,68.51,63.48,50.21,53.64,80.0,100.0,81.0,120.0,74.76,76.71,63.09,66.72,16.51,75.3,78.51,33.0,1974.71,50.76,30.12,80.0,2288.59,0.0,76.1,1.35,119.91,92.61,79.63,92.0,-37.19,2
50.0,43.0,94.64,2917.67,65.0,-55.68,120.0,80.0,10200.0,50.0,60.95,13.0,1.08,54.62,10324.9,50.79,40.95,63.38,64.24,49.96,54.93,80.0,100.0,81.0,111.19,70.4,71.9,58.77,53.77,0.01,70.11,73.86,21.7,1661.48,46.4,29.51,80.0,1667.32,0.0,76.31,0.91,119.91,73.76,81.83,81.0,-55.88,2
50.0,42.0,112.0,2214.29,64.0,-79.44,120.0,80.0,9300.0,50.12,46.8,1.56,1.3,40.81,10484.44,49.35,56.94,60.72,60.43,50.18,41.04,80.0,100.0,81.0,140.83,67.35,69.63,61.43,54.35,24.65,68.03,60.78,21.0,1853.44,45.06,31.8,80.0,1968.87,0.0,65.37,1.25,119.91,67.17,43.82,67.0,-79.13,2
50.0,43.0,125.0,2609.3,71.0,-47.6,120.0,80.0,10300.0,50.12,67.01,18.28,1.27,44.85,9311.93,49.32,65.37,62.93,62.87,49.6,44.85,80.0,100.0,81.0,124.96,82.13,83.6,65.63,59.82,24.84,83.22,62.58,22.8,1929.96,46.37,28.6,80.0,1718.55,0.0,65.93,1.26,125.03,67.62,38.28,68.0,-79.85,2
50.0,42.0,120.14,2214.29,68.0,-61.09,120.0,80.0,9300.0,50.33,33.14,17.03,1.27,44.11,9414.4,50.73,55.6,67.29,67.23,51.78,43.96,80.0,100.0,81.0,121.07,86.36,87.57,70.02,64.37,10.04,87.29,67.1,26.19,2128.4,47.71,30.02,80.0,2212.06,0.0,62.02,1.24,120.23,73.71,44.23,72.0,-76.32,0
50.0,43.0,151.24,2991.88,68.0,-69.62,125.0,80.0,10500.0,50.0,62.25,1.85,1.27,44.42,10311.93,50.34,46.27,62.76,55.97,49.99,44.57,80.0,100.0,81.0,142.22,69.24,71.65,60.59,62.07,5.07,69.89,63.38,20.0,1763.94,44.51,29.78,80.0,2173.8,0.0,66.25,1.21,124.71,69.35,72.64,69.0,-79.85,2
50.0,39.0,125.0,2575.13,64.0,-73.27,135.0,80.0,9200.0,50.0,46.61,18.08,1.26,54.78,10889.11,50.69,49.31,66.73,67.46,50.12,51.3,80.0,100.0,81.0,105.79,71.49,71.94,60.62,56.43,11.64,72.13,65.72,27.82,2205.58,48.58,30.59,80.0,2013.62,0.0,69.1,0.88,121.21,68.45,49.5,68.0,-79.13,1
50.0,41.5,105.0,2081.93,59.0,-78.63,120.0,80.0,9600.0,50.0,38.96,58.27,1.08,48.97,10363.17,50.31,50.15,60.4,60.53,50.25,50.06,80.0,100.0,81.0,104.84,68.09,70.46,58.99,53.77,10.39,68.7,67.39,22.8,1866.41,46.82,28.57,80.0,1833.98,0.0,64.82,0.96,120.23,74.42,83.2,76.0,-67.19,0
50.0,43.0,107.37,3012.56,69.0,-67.08,120.0,80.0,10200.0,50.0,55.66,39.14,1.28,57.79,10381.97,50.12,47.15,64.8,62.74,50.28,56.79,80.0,100.0,81.0,90.27,69.18,71.55,59.47,61.43,3.72,69.82,74.66,29.0,2020.1,49.7,30.59,80.0,2116.08,0.0,70.22,1.21,119.91,74.7,81.36,83.0,-60.48,2
50.0,42.0,120.0,1769.52,63.0,-47.85,120.0,80.0,9280.0,50.1,42.25,21.16,1.37,58.04,10183.53,49.35,51.37,70.02,62.48,50.06,57.57,80.0,100.0,81.0,117.54,73.73,76.55,62.45,68.15,9.17,75.14,62.74,24.0,1853.44,46.62,32.14,80.0,3346.95,0.0,69.12,1.26,120.23,62.77,78.55,69.0,-79.85,2
50.0,40.5,90.0,1990.32,48.5,-36.37,120.0,80.0,9500.0,50.0,64.35,18.85,1.26,43.65,9407.91,50.02,50.98,61.75,61.88,49.86,43.65,80.0,100.0,81.0,119.64,79.66,81.23,64.5,58.93,3.59,80.4,65.85,24.0,1846.95,45.79,29.0,80.0,2243.84,0.0,63.76,1.2,120.23,65.82,84.44,76.0,-73.86,2
50.0,43.0,133.63,2991.88,63.17,-75.59,120.0,80.0,10130.0,50.0,48.16,88.16,1.5,44.26,10145.27,47.01,53.11,66.5,58.32,49.83,44.5,80.0,100.0,81.0,142.58,70.18,72.51,61.78,65.85,12.82,70.59,64.21,22.0,1789.23,45.6,29.11,80.0,1974.71,0.0,70.75,1.2,119.91,71.52,46.35,72.0,-73.18,2
50.0,43.0,95.0,2988.84,67.0,-68.44,125.0,80.0,10200.0,50.0,48.21,13.96,1.1,49.41,9889.11,49.89,50.62,65.16,63.48,49.96,44.33,80.0,100.0,81.0,138.69,84.75,85.33,66.24,62.87,1.8,85.3,65.59,25.18,1802.2,44.51,30.72,80.0,2090.14,0.0,68.11,0.9,119.91,72.49,33.36,71.0,-77.39,1
25.0,40.74,125.0,2897.65,69.0,-54.91,125.0,80.0,9930.0,49.88,42.7,9.24,1.28,48.97,9260.7,57.32,52.23,63.51,62.68,49.77,48.74,80.0,100.0,81.0,131.31,82.51,83.31,64.98,60.82,7.82,82.55,64.57,25.0,1981.19,47.68,30.25,80.0,1859.92,0.0,65.21,1.21,119.91,74.93,35.42,75.0,-73.18,0
50.0,40.5,120.0,2296.3,65.0,-60.61,120.0,80.0,9300.0,40.71,43.2,88.16,1.5,53.54,10113.49,50.37,53.84,68.49,59.13,49.51,53.85,80.0,100.0,81.0,135.53,71.71,74.12,60.18,68.12,12.31,72.07,73.93,18.4,1584.31,43.84,30.08,80.0,1962.39,0.0,67.15,0.93,119.91,83.64,26.95,83.0,-57.98,2
50.0,43.0,144.17,2991.88,68.0,-76.12,125.0,80.0,10500.0,50.0,57.09,1.75,1.24,46.89,10478.6,47.78,50.65,67.53,58.44,49.93,46.81,80.0,100.0,81.0,142.13,70.88,73.35,62.04,67.32,8.37,71.52,65.66,19.5,1686.77,44.83,28.94,80.0,1507.13,0.0,67.82,1.2,125.03,65.53,83.86,75.0,-72.11,2
50.0,41.11,125.0,2506.91,40.0,-68.2,125.0,80.0,9220.0,50.0,58.5,1.65,1.32,59.34,10209.47,48.74,47.55,66.91,62.42,50.41,59.72,80.0,100.0,81.0,102.02,71.49,73.48,59.76,62.96,7.31,72.26,75.27,28.6,1667.32,46.78,31.53,80.0,4064.85,0.0,74.12,1.03,119.91,75.27,80.6,88.0,-53.06,2
50.0,41.5,106.0,2038.55,63.0,-45.0,120.0,80.0,9400.0,50.0,68.32,19.34,1.3,45.97,9407.91,47.46,51.59,65.78,63.64,49.89,47.09,80.0,100.0,81.0,126.03,83.57,84.95,66.52,63.76,4.3,85.49,67.96,28.12,2263.29,46.47,30.82,80.0,2045.4,0.0,47.01,1.23,119.26,79.79,83.54,80.0,-68.58,1
25.0,40.5,135.0,2066.67,5.0,-50.0,2.0,80.0,18000.0,49.28,14.94,32.41,1.32,-2.48,13958.5,26.57,39.83,45.18,20.74,50.41,-2.94,75.0,100.0,70.0,134.84,56.08,58.06,53.9,52.87,9.84,57.87,50.76,14.73,3775.62,36.15,18.55,20.0,5114.79,0.0,0.0,0.91,1.98,50.76,82.05,74.0,1.94,1
25.0,42.0,135.0,2214.29,5.0,-50.0,2.0,80.0,18000.0,50.0,57.62,17.32,0.57,40.42,10190.01,49.96,55.85,63.54,59.92,50.09,40.42,80.0,100.0,81.0,130.95,69.11,71.49,61.59,61.88,22.34,69.7,67.1,26.71,1891.7,46.82,31.09,80.0,2398.18,0.0,64.84,0.89,121.53,75.12,82.98,75.0,-72.11,2
50.0,43.0,130.0,2186.05,74.0,-68.56,120.0,80.0,9500.0,50.0,46.13,27.51,1.32,43.9,10285.99,50.86,55.31,63.83,62.36,49.19,44.44,80.0,100.0,81.0,125.31,69.44,71.78,61.72,59.76,21.61,70.11,70.91,27.0,2064.85,48.58,32.5,80.0,2013.62,0.0,60.71,0.94,119.91,71.04,59.75,77.0,-70.0,2
50.0,40.5,146.84,2296.3,63.0,-80.0,125.0,80.0,9600.0,50.0,66.83,40.97,1.28,55.86,10369.65,50.18,48.47,64.99,63.21,49.93,55.93,80.0,100.0,81.0,108.0,67.55,69.92,59.22,61.62,6.57,68.15,77.61,25.0,1642.02,46.47,28.47,80.0,1731.52,0.0,69.62,0.67,119.91,87.92,81.6,87.0,-45.64,2
50.0,40.5,107.0,2066.67,65.0,-75.74,120.0,80.0,9300.0,49.28,16.08,1.85,1.27,48.29,9915.04,50.06,48.04,63.93,62.74,49.7,47.83,80.0,100.0,81.0,125.31,82.48,82.93,64.31,62.42,1.73,83.12,60.82,25.5,1590.79,43.61,34.22,80.0,1346.95,0.0,64.26,1.23,120.23,73.26,26.37,74.0,-78.1,2
50.0,43.0,129.0,2609.3,65.0,-71.3,120.0,80.0,9800.0,50.4,43.78,22.32,1.09,50.53,9395.59,49.41,61.94,65.34,64.6,49.93,51.2,80.0,100.0,81.0,119.29,83.89,86.84,69.79,64.95,15.48,84.95,70.69,24.53,1833.98,52.65,26.75,80.0,2462.39,0.0,45.63,1.16,106.74,70.69,82.57,78.0,-53.74,1
50.0,42.0,120.0,2214.29,65.0,-79.76,125.0,80.0,9300.0,50.4,18.86,21.64,1.27,45.97,9305.45,49.22,62.29,61.17,59.5,50.18,45.82,80.0,100.0,81.0,120.71,80.3,81.52,65.5,59.09,21.51,80.59,69.47,21.0,1500.65,43.39,33.01,80.0,1295.72,0.0,67.23,1.23,125.03,69.34,83.85,80.0,-64.37,1
50.0,40.5,104.0,1990.32,42.0,-45.99,120.0,80.0,9160.0,50.0,58.84,9.91,1.29,53.92,10510.38,49.41,43.45,64.6,63.44,50.06,54.32,80.0,100.0,81.0,83.01,68.38,70.98,58.67,59.76,1.29,68.96,70.56,28.2,1686.77,46.27,32.37,80.0,4987.03,0.0,70.82,1.22,119.91,81.91,81.98,82.0,-63.65,2
50.0,40.5,105.0,2119.48,63.0,-36.37,120.0,80.0,9600.0,50.0,66.49,39.53,1.25,50.45,9202.98,56.52,52.17,64.5,62.23,50.06,49.26,80.0,100.0,81.0,98.85,81.16,82.67,65.75,61.39,3.72,81.9,58.8,31.92,2301.56,43.26,27.76,80.0,3205.58,0.0,43.46,1.19,0.06,59.02,82.83,71.0,-59.41,1
