Salt,VC,EC,EMC,C1-0C,C2-10C,C3-20C,C4-30C,C5-40C,C6-50C,C7-60C,S0,S1,S2,log(eror - Arrhenius fits),logClass
0.053197,0.0,0.318338,0.628464,-2.303717,-2.213647,-2.138183,-2.068923,-2.00536,-1.947687,-1.886993,-2.301608,-0.664652,-0.061665,-6.039789,Low
0.061109,0.0,0.315664,0.623228,-2.293543,-2.19974,-2.120343,-2.0568,-1.98962,-1.921433,-1.856203,-2.289248,-0.652838,-0.003456,-5.347156,Moderate
0.06498,0.0,0.314366,0.620654,-2.293145,-2.205565,-2.120255,-2.03439,-1.96593,-1.8948,-1.835285,-2.295247,-0.718122,-0.027725,-5.892069,Moderate
0.079188,0.0,0.309541,0.611272,-2.312285,-2.20836,-2.12696,-2.047955,-1.978495,-1.91833,-1.88078,-2.31292,-0.82482,-0.246872,-5.512638,Moderate
0.094764,0.0,0.304009,0.601227,-2.319545,-2.217755,-2.131715,-2.024845,-1.987385,-1.896325,-1.83522,-2.319161,-0.795042,-0.098066,-4.488718,Strong
0.104944,0.0,0.300954,0.594103,-2.326665,-2.21264,-2.11432,-2.036805,-1.963535,-1.89162,-1.82258,-2.323173,-0.847579,-0.144685,-5.426849,Moderate
0.113606,0.0,0.29847,0.587925,-2.36612,-2.260485,-2.148515,-2.06038,-1.984455,-1.91389,-1.88998,-2.373493,-1.006158,-0.388918,-4.687432,Strong
0.121234,0.0,0.295346,0.583421,-2.38934,-2.261717,-2.153737,-2.060297,-1.976197,-1.898713,-1.823757,-2.386904,-0.967804,-0.180484,-5.906162,Moderate
0.130907,0.0,0.292052,0.577041,-2.414837,-2.28214,-2.170563,-2.072117,-1.975907,-1.886333,-1.805687,-2.412039,-0.982403,-0.099161,-5.866529,Moderate
0.138088,0.0,0.289756,0.572156,-2.434957,-2.30588,-2.188973,-2.09008,-2.003153,-1.924287,-1.84243,-2.433681,-1.010775,-0.183263,-5.758084,Moderate
0.147269,0.0,0.286571,0.566161,-2.449187,-2.305313,-2.183487,-2.084503,-2.00228,-1.933187,-1.86864,-2.448171,-1.156394,-0.427834,-6.160863,Low
