image_name,confidence_value,IoU_value
IMG_20180720_142731,0.35198050000000003,0.8884355783433651
IMG_20100101_022751,0,0
IMG_1263,0,0
IMG_0233,0.369462,0.9105750838541462
IMG_1251,0,0
IMG_1254,0,0
IMG_20180719_143627,0.326566,1.2097463396613368
IMG_20100101_032219,0,0
IMG_20100101_031805,0,0
IMG_20100101_031126,0,0
IMG_20100101_031404,0.305378,0.9914268165386935
IMG_20180810_093330,0,0
IMG_20180725_122231,0,0
IMG_20180810_092905,0,0
IMG_20180725_114304,0,0
IMG_20180811_083858,0.30311049999999995,0.9007332252619786
IMG_20180725_121427,0,0
IMG_20180725_120946,0.306477,0.9015531272879306
IMG_20180723_123939,0,0
IMG_20180724_121053,0,0
IMG_20180724_121406,0,0
IMG_20180723_124904,0,0
IMG_20180723_145353,0.29337,0.9746426167751636
IMG_20180723_145947,0,0
IMG_20180724_121309,0.256602,1.062254157378004
IMG_20180724_150507,0,0
IMG_20180724_123732,0,0
IMG_20180724_125716,0.318626,0.8359269755926788
IMG_20180724_124449,0,0
IMG_20180719_125126,0,0
IMG_20100101_033117,0,0
IMG_20180714_103808,0.260591,0.9225424228362763
IMG_20100101_032317,0,0
IMG_20100101_033637,0,0
IMG_20180714_103316,0.2888793333333333,1.2205997271549653
IMG_20100101_033033,0,0
IMG_20180724_122357,0,0
IMG_20180723_123134,0,0
IMG_20180719_143723,0,0
IMG_20180721_090506,0,0
